channel,power_mw,rel_power_density
4,10.0240,0.1472
5,6.1284,0.0900
6,5.9433,0.0873
10,81.0796,1.1909
11,7.3476,0.1079
12,7.8089,0.1147
16,63.1879,0.9281
17,7.8206,0.1149
18,26.1794,0.3845
22,82.3076,1.2089
23,7.4475,0.1094
24,13.0060,0.1910
28,51.4364,0.7555
29,7.2683,0.1068
30,18.5762,0.2728
34,238.5529,3.5037
35,9.8918,0.1453
36,10.0475,0.1476
40,51.0486,0.7498
41,5.6877,0.0835
42,31.8584,0.4679
46,249.6992,3.6675
47,6.1960,0.0910
48,15.0331,0.2208
52,42.9430,0.6307
53,14.4250,0.2119
54,12.2656,0.1802
58,141.0006,2.0709
59,10.3413,0.1519
60,7.9705,0.1171
64,86.3590,1.2684
65,15.0831,0.2215
70,100.7869,1.4803
71,17.7184,0.2602
82,96.4065,1.4160
88,102.0326,1.4986
100,70.8381,1.0404
148,290.2742,4.2634
160,122.2128,1.7950
162,27.9451,0.4104
172,102.9786,1.5125
174,19.7543,0.2901
196,277.4063,4.0744
220,150.0992,2.2046
256,190.0279,2.7910
304,126.6667,1.8604
316,160.8871,2.3630
