channel,i,j,k,power_mw,rel_power_density
4,3,0,0,10.0240,0.1472
5,4,0,0,6.1284,0.0900
6,5,0,0,5.9433,0.0873
10,9,0,0,81.0796,1.1909
11,10,0,0,7.3476,0.1079
12,11,0,0,7.8089,0.1147
16,15,0,0,63.1879,0.9281
17,16,0,0,7.8206,0.1149
18,17,0,0,26.1794,0.3845
22,21,0,0,82.3076,1.2089
23,22,0,0,7.4475,0.1094
24,23,0,0,13.0060,0.1910
28,27,0,0,51.4364,0.7555
29,28,0,0,7.2683,0.1068
30,29,0,0,18.5762,0.2728
34,33,0,0,238.5529,3.5037
35,34,0,0,9.8918,0.1453
36,35,0,0,10.0475,0.1476
40,39,0,0,51.0486,0.7498
41,40,0,0,5.6877,0.0835
42,41,0,0,31.8584,0.4679
46,45,0,0,249.6992,3.6675
47,46,0,0,6.1960,0.0910
48,47,0,0,15.0331,0.2208
52,2,1,0,42.9430,0.6307
53,3,1,0,14.4250,0.2119
54,4,1,0,12.2656,0.1802
58,8,1,0,141.0006,2.0709
59,9,1,0,10.3413,0.1519
60,10,1,0,7.9705,0.1171
64,14,1,0,86.3590,1.2684
65,15,1,0,15.0831,0.2215
70,20,1,0,100.7869,1.4803
71,21,1,0,17.7184,0.2602
82,32,1,0,96.4065,1.4160
88,38,1,0,102.0326,1.4986
100,1,2,0,70.8381,1.0404
148,0,3,0,290.2742,4.2634
160,12,3,0,122.2128,1.7950
162,14,3,0,27.9451,0.4104
172,24,3,0,102.9786,1.5125
174,26,3,0,19.7543,0.2901
196,48,3,0,277.4063,4.0744
220,23,4,0,150.0992,2.2046
256,10,5,0,190.0279,2.7910
304,9,6,0,126.6667,1.8604
316,21,6,0,160.8871,2.3630
